child_name,parent_name
Severe congenital heart defects,Congenital Heart Defects
Congenital malformations of cardiac septa,Congenital Heart Defects
Congenital malformations of pulmonary and tricuspid valves,Congenital Heart Defects
Congenital malformations of great arteries,Congenital Heart Defects
Congenital malformations of cardiac chambers and connections,Congenital Heart Defects
Congenital malformations of aortic and mitral valves,Congenital Heart Defects
Other congenital malformations of heart,Congenital Heart Defects
Congenital malformations of great veins,Congenital Heart Defects
Respiratory anomalies,malformations
Congenital malformations of trachea and bronchus,Respiratory anomalies
Congenital malformations of lung,Respiratory anomalies
Other congenital malformations of lung,Congenital malformations of lung
Other congenital malformations of respiratory system,Respiratory anomalies
Cleft lip,Cleft lip with or without cleft palate
Cleft palate with cleft lip,Cleft lip with or without cleft palate
Cleft palate,Orofacial clefts
Other congenital malformations of tongue mouth and pharynx,Gastrointestinal anomalies
Oesophageal atresia with or without tracheooesophageal fistula,Congenital malformations of oesophagus
Congenital malformations of oesophagus,Gastrointestinal anomalies
Other congenital malformations of upper alimentary tract,Gastrointestinal anomalies
Gastrointestinal anomalies,malformations
Atresia or stenosis of other parts of small intestine,Congenital absence atresia and stenosis of small intestine
Anorectal atresia or stenosis,Congenital absence atresia and stenosis of large intestine
Other congenital malformations of intestine,Gastrointestinal anomalies
Congenital malformations of gallbladder bile ducts and liver,Gastrointestinal anomalies
Other congenital malformations of digestive system,Gastrointestinal anomalies
Congenital malformations of ovaries fallopian tubes and broad ligaments,Genital anomalies
Congenital malformations of uterus and cervix,Genital anomalies
Other congenital malformations of female genitalia,Genital anomalies
Hypospadias,Genital anomalies
Other congenital malformations of male genital organs,Genital anomalies
Indeterminate sex,Genital anomalies
Congenital anomalies of kidney and urinary tract CAKUT,malformations
Bilateral renal agenesis including Potter sequence,Congenital anomalies of kidney and urinary tract CAKUT
Cystic kidney disease,Congenital anomalies of kidney and urinary tract CAKUT
Renal dysplasia,Cystic kidney disease
Congenital hydronephrosis including ureter obstruction,Congenital obstructive defects of renal pelvis and congenital malformations of ureter
Congenital obstructive defects of renal pelvis and congenital malformations of ureter,Congenital anomalies of kidney and urinary tract CAKUT
Other congenital malformations of kidney,Congenital anomalies of kidney and urinary tract CAKUT
Lobulated fused and horseshoe kidney and ectopic kidney,Other congenital malformations of kidney
Bladder exstrophy and or epispadias,Other congenital malformations of urinary system
Congenital posterior urethral valves,Other congenital malformations of urinary system
Other congenital malformations of urinary system,Congenital anomalies of kidney and urinary tract CAKUT
Limb anomalies,malformations
Other congenital musculoskeletal deformities,Limb anomalies
Polydactyly,Limb anomalies
Syndactyly,Limb anomalies
Transverse LRD,Limb reduction defects LRD
Longitudinal preaxial LRD,Limb reduction defects LRD
Longitudinal postaxial LRD,Limb reduction defects LRD
Longitudinal central LRD,Limb reduction defects LRD
Intercalary LRD,Limb reduction defects LRD
Limb reduction defects LRD,Limb anomalies
Other congenital malformations of limbs,Limb anomalies
Abdominal wall defects,malformations
Vascular disruption anomalies,Other anomalies syndromes
Other anomalies syndromes,malformations
Other congenital malformations of peripheral vascular system,Other anomalies syndromes
Other congenital malformations of circulatory system,Other anomalies syndromes
Congenital malformations of larynx,Other anomalies syndromes
Other congenital malformations of skull and face bones,Other anomalies syndromes
Congenital malformations of spine and bony thorax,Other anomalies syndromes
Congenital malformations of breast,Other anomalies syndromes
Other congenital malformations of integument,Other anomalies syndromes
Neural Tube Defects,Nervous system anomalies
Nervous system anomalies,malformations
malformations,malformations
Other congenital malformations of brain,Nervous system anomalies
Eye anomalies,malformations
Anophtalmos microphtalmos and macrophtalmos,Eye anomalies
Congenital malformations of ear causing impairment of hearing,Ear face and neck anomalies
Ear face and neck anomalies,malformations
Congenital Heart Defects,malformations
Respiratory anomalies,malformations
Congenital malformations of lung,Respiratory anomalies
